Food_Item_Name,Food_Category,Energy_kcal,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calcium_mg,Iron_mg,Other_Nutrients,Primary_Dosha_Effect,Rasa,Guna,Virya,Vipaka,Seasonal_Suitability,Preparation_Notes,Allergen_Info,Cuisine_Origin,Recipe_Links
Almond,Nut,576,21.6,21.2,49.9,12.5,264,3.7,"Vitamin E, Magnesium, Zinc","Pacifies Vata, Increases Kapha","Sweet","Heavy, Oily","Heating","Sweet","Winter, Spring","Soak overnight, peel skin","Contains nuts","Global","ayurrecipe.com/almond-milk"
Rice,Grain,130,28.0,2.7,0.3,0.4,28,0.8,"B Vitamins, Selenium","Pacifies Vata, Increases Kapha","Sweet","Heavy, Light","Cooling","Sweet","All seasons","Wash thoroughly, cook with ghee","Gluten-free","Indian","ayurrecipe.com/rice-kheer"
Bitter Gourd,Vegetable,17,3.7,1.0,0.2,2.8,19,0.7,"Vitamin C, Folate","Pacifies Pitta, Increases Vata","Bitter","Light, Dry","Cooling","Pungent","Summer, Monsoon","Remove seeds, cook with spices","None","Indian","ayurrecipe.com/bitter-gourd-curry"
Milk,Dairy,42,5.0,3.4,1.0,0.0,113,0.03,"Vitamin D, B12, Phosphorus","Pacifies Vata, Increases Kapha","Sweet","Heavy, Oily","Cooling","Sweet","Winter, Spring","Boil with spices","Contains lactose","Global","ayurrecipe.com/golden-milk"
Ghee,Dairy,900,0.0,0.0,99.9,0.0,0,0.0,"Vitamin A, E, K2","Pacifies Vata, Pitta","Sweet","Heavy, Oily","Heating","Sweet","All seasons","Use in moderation","Contains dairy","Indian","ayurrecipe.com/ghee-preparation"
Turmeric,Spice,354,64.9,7.8,9.9,21.1,183,41.4,"Curcumin, Manganese","Pacifies Pitta, Kapha","Bitter, Pungent","Light, Dry","Heating","Pungent","All seasons","Use with black pepper","None","Indian","ayurrecipe.com/turmeric-tea"
Lentils,Legume,116,20.1,9.0,0.4,7.9,19,3.3,"Folate, Potassium","Pacifies Pitta, Increases Vata","Sweet, Astringent","Heavy, Dry","Cooling","Sweet","All seasons","Soak before cooking","None","Indian","ayurrecipe.com/dal-tadka"
Banana,Fruit,89,22.8,1.1,0.3,2.6,5,0.26,"Potassium, Vitamin B6","Pacifies Vata, Increases Kapha","Sweet","Heavy, Oily","Cooling","Sweet","All seasons","Eat ripe, avoid overripe","None","Global","ayurrecipe.com/banana-smoothie"
Coconut,Fruit,354,15.2,3.3,33.5,9.0,14,2.4,"Manganese, Copper","Pacifies Pitta, Increases Kapha","Sweet","Heavy, Oily","Cooling","Sweet","Summer, Monsoon","Use fresh, avoid processed","None","Tropical","ayurrecipe.com/coconut-chutney"
Ginger,Spice,80,17.8,1.8,0.8,2.0,16,0.6,"Gingerol, Magnesium","Pacifies Kapha, Increases Pitta","Pungent","Light, Dry","Heating","Sweet","Winter, Monsoon","Use fresh, avoid old","None","Asian","ayurrecipe.com/ginger-tea"
